1;1
2;1
3;1
4;1
5;1
5;5
6;1
7;1
7;5
8;1
8;5
9;1
9;5
10;1
11;1
11;5
12;1
13;1
14;1
15;1
15;5
16;1
16;5
17;1
17;5
18;1
18;5
19;5
20;5
21;5
22;5
23;5
24;5
25;5
26;5
27;5
28;2
28;5
29;2
29;5
30;5
31;2
32;2
33;2
33;5
34;5
35;2
35;5
36;2
36;5
37;5
38;2
38;5
39;2
39;5
40;2
40;5
41;2
42;2
43;2
43;5
44;2
44;5
45;2
45;5
46;2
46;5
47;2
47;5
48;5
49;2
50;2
51;2
52;2
53;2
54;2
55;2
56;2
57;2
58;2
59;2
60;2
61;2
62;2
63;2
64;2
65;2
66;3
67;3
68;3
69;4
70;4
71;4
72;4
73;4
74;3
74;4
75;3
76;4
77;3
78;3
79;3
79;4
80;3
81;3
82;4
83;4
84;4
85;3
86;4
87;4
88;4
89;3
89;4
90;4
91;4
92;4
93;4
94;3
95;4
96;4
97;4
98;3
99;3
100;3
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
